index,names,corr,signal
149,ntCH,0.00475282554756197,-1
248,SHtCH,0.00471740920284905,-1
367,minHtCH,0.00471740920284905,-1
486,maxHtCH,0.00471740920284905,-1
117,nHBint8,0.0041548374033077,-1
698,nF8Ring,0.00353269423876423,-1
512,maxdssC,0.00329802002476117,-1
113,nHBint4,0.00207228202757668,-1
514,maxaaaC,0.000923363327373692,-1
71,VCH.5,0.000312961500484934,-1
395,minaaaC,5.91757169907349e-05,-1
11,nB,NA,NA
52,nBondsQ,NA,NA
126,nHsNH3p,NA,NA
127,nHssNH2p,NA,NA
128,nHsssNHp,NA,NA
138,nHmisc,NA,NA
139,nsLi,NA,NA
140,nssBe,NA,NA
141,nssssBem,NA,NA
142,nsBH2,NA,NA
143,nssBH,NA,NA
144,nsssB,NA,NA
145,nssssBm,NA,NA
153,nddC,NA,NA
159,nsNH3p,NA,NA
161,nssNH2p,NA,NA
166,nsssNHp,NA,NA
170,nddsN,NA,NA
177,naOm,NA,NA
180,nsSiH3,NA,NA
181,nssSiH2,NA,NA
182,nsssSiH,NA,NA
183,nssssSi,NA,NA
184,nsPH2,NA,NA
185,nssPH,NA,NA
186,nsssP,NA,NA
188,nddsP,NA,NA
189,nsssssP,NA,NA
196,nssssssS,NA,NA
197,nSm,NA,NA
199,nsGeH3,NA,NA
200,nssGeH2,NA,NA
201,nsssGeH,NA,NA
202,nssssGe,NA,NA
203,nsAsH2,NA,NA
204,nssAsH,NA,NA
205,nsssAs,NA,NA
206,ndsssAs,NA,NA
207,nddsAs,NA,NA
208,nsssssAs,NA,NA
209,nsSeH,NA,NA
210,ndSe,NA,NA
211,nssSe,NA,NA
212,naaSe,NA,NA
213,ndssSe,NA,NA
214,nssssssSe,NA,NA
215,nddssSe,NA,NA
217,nsSnH3,NA,NA
218,nssSnH2,NA,NA
219,nsssSnH,NA,NA
220,nssssSn,NA,NA
222,nsPbH3,NA,NA
223,nssPbH2,NA,NA
224,nsssPbH,NA,NA
225,nssssPb,NA,NA
245,SHsNH3p,NA,NA
246,SHssNH2p,NA,NA
247,SHsssNHp,NA,NA
257,SHmisc,NA,NA
258,SsLi,NA,NA
259,SssBe,NA,NA
260,SssssBem,NA,NA
261,SsBH2,NA,NA
262,SssBH,NA,NA
263,SsssB,NA,NA
264,SssssBm,NA,NA
272,SddC,NA,NA
278,SsNH3p,NA,NA
280,SssNH2p,NA,NA
285,SsssNHp,NA,NA
289,SddsN,NA,NA
296,SaOm,NA,NA
299,SsSiH3,NA,NA
300,SssSiH2,NA,NA
301,SsssSiH,NA,NA
302,SssssSi,NA,NA
303,SsPH2,NA,NA
304,SssPH,NA,NA
305,SsssP,NA,NA
307,SddsP,NA,NA
308,SsssssP,NA,NA
315,SssssssS,NA,NA
316,SSm,NA,NA
318,SsGeH3,NA,NA
319,SssGeH2,NA,NA
320,SsssGeH,NA,NA
321,SssssGe,NA,NA
322,SsAsH2,NA,NA
323,SssAsH,NA,NA
324,SsssAs,NA,NA
325,SdsssAs,NA,NA
326,SddsAs,NA,NA
327,SsssssAs,NA,NA
328,SsSeH,NA,NA
329,SdSe,NA,NA
330,SssSe,NA,NA
331,SaaSe,NA,NA
332,SdssSe,NA,NA
333,SssssssSe,NA,NA
334,SddssSe,NA,NA
336,SsSnH3,NA,NA
337,SssSnH2,NA,NA
338,SsssSnH,NA,NA
339,SssssSn,NA,NA
341,SsPbH3,NA,NA
342,SssPbH2,NA,NA
343,SsssPbH,NA,NA
344,SssssPb,NA,NA
364,minHsNH3p,NA,NA
365,minHssNH2p,NA,NA
366,minHsssNHp,NA,NA
376,minHmisc,NA,NA
377,minsLi,NA,NA
378,minssBe,NA,NA
379,minssssBem,NA,NA
380,minsBH2,NA,NA
381,minssBH,NA,NA
382,minsssB,NA,NA
383,minssssBm,NA,NA
391,minddC,NA,NA
397,minsNH3p,NA,NA
399,minssNH2p,NA,NA
404,minsssNHp,NA,NA
408,minddsN,NA,NA
415,minaOm,NA,NA
418,minsSiH3,NA,NA
419,minssSiH2,NA,NA
420,minsssSiH,NA,NA
421,minssssSi,NA,NA
422,minsPH2,NA,NA
423,minssPH,NA,NA
424,minsssP,NA,NA
426,minddsP,NA,NA
427,minsssssP,NA,NA
434,minssssssS,NA,NA
435,minSm,NA,NA
437,minsGeH3,NA,NA
438,minssGeH2,NA,NA
439,minsssGeH,NA,NA
440,minssssGe,NA,NA
441,minsAsH2,NA,NA
442,minssAsH,NA,NA
443,minsssAs,NA,NA
444,mindsssAs,NA,NA
445,minddsAs,NA,NA
446,minsssssAs,NA,NA
447,minsSeH,NA,NA
448,mindSe,NA,NA
449,minssSe,NA,NA
450,minaaSe,NA,NA
451,mindssSe,NA,NA
452,minssssssSe,NA,NA
453,minddssSe,NA,NA
455,minsSnH3,NA,NA
456,minssSnH2,NA,NA
457,minsssSnH,NA,NA
458,minssssSn,NA,NA
460,minsPbH3,NA,NA
461,minssPbH2,NA,NA
462,minsssPbH,NA,NA
463,minssssPb,NA,NA
483,maxHsNH3p,NA,NA
484,maxHssNH2p,NA,NA
485,maxHsssNHp,NA,NA
495,maxHmisc,NA,NA
496,maxsLi,NA,NA
497,maxssBe,NA,NA
498,maxssssBem,NA,NA
499,maxsBH2,NA,NA
500,maxssBH,NA,NA
501,maxsssB,NA,NA
502,maxssssBm,NA,NA
510,maxddC,NA,NA
516,maxsNH3p,NA,NA
518,maxssNH2p,NA,NA
523,maxsssNHp,NA,NA
527,maxddsN,NA,NA
534,maxaOm,NA,NA
537,maxsSiH3,NA,NA
538,maxssSiH2,NA,NA
539,maxsssSiH,NA,NA
540,maxssssSi,NA,NA
541,maxsPH2,NA,NA
542,maxssPH,NA,NA
543,maxsssP,NA,NA
544,maxdsssP,NA,NA
545,maxddsP,NA,NA
546,maxsssssP,NA,NA
549,maxssS,NA,NA
550,maxaaS,NA,NA
551,maxdssS,NA,NA
552,maxddssS,NA,NA
553,maxssssssS,NA,NA
554,maxSm,NA,NA
556,maxsGeH3,NA,NA
557,maxssGeH2,NA,NA
558,maxsssGeH,NA,NA
559,maxssssGe,NA,NA
560,maxsAsH2,NA,NA
561,maxssAsH,NA,NA
562,maxsssAs,NA,NA
563,maxdsssAs,NA,NA
564,maxddsAs,NA,NA
565,maxsssssAs,NA,NA
566,maxsSeH,NA,NA
567,maxdSe,NA,NA
568,maxssSe,NA,NA
569,maxaaSe,NA,NA
570,maxdssSe,NA,NA
571,maxssssssSe,NA,NA
572,maxddssSe,NA,NA
574,maxsSnH3,NA,NA
575,maxssSnH2,NA,NA
576,maxsssSnH,NA,NA
